Parameters,Value,notes
population ,,
pop,1000000,hypothetical cohort total population
population per income quintile,,
pop_1,20000,
pop_2,20000,
pop_3,20000,
pop_4,20000,
pop_5,20000,
prevalence of DR per quintile,,
dr_1,0.01,
dr_2,0.01,
dr_3,0.02,
dr_4,0.02,
dr_5,0.02,
VTDR cases among DR cases,P(VTDR|DR)_i ,cases of VTDR among DR
vtdr_dr_1,0.31,
vtdr_dr_2,0.31,
vtdr_dr_3,0.32,
vtdr_dr_4,0.32,
vtdr_dr_5,0.32,
cov_b,0.1,baseline screening coverage 
cov_inv,0.75,intervention screening coverage
primary care utilization,,
pcu_1,0.37,
pcu_2,0.34,
pcu_3,0.29,
pcu_4,0.21,
pcu_5,0.09,
sensitivty (usual care),,
sens_b,1,sensitivity of test during usual care
sensitivty(intervention),,
sens_inv,0.89,sensitivity of AI supported screening
loss to follow up at referral ,,
lfu_referral,0.44,
loss to follow up at treatment,,
lfu_treat,0.275,
efectiveness of treatment,,
eff_blind,0.058,risk VTDR to blindness reduced due to treatment
,,
gini,0.255,world bank
mean_income,219575,rupes
th1,0.1,CHE threshold
th2,0.25,
,,
OOP,,baseline OOP
oop_b_1,"35,000",
oop_b_2,"38,000",
oop_b_3,"42,000",
oop_b_4,"48,000",
oop_b_5,"55,000",
,,
OOP for treatment,,
oop_tr_1,"10,000",
oop_tr_2,"12,000",
oop_tr_3,"14,000",
oop_tr_4,"17,000",
oop_tr_5,"22,000",
